Code du Terme;Descripteur en majuscules;Descripteur en typo riche;Champ sémantique;Synonymes;Synonymes métier;TG (Terme Générique);TS (Termes Spécifiques);TA (Termes Associés);NE (Note d’Explication);NA (Note d’Application);Note de version;ex-synonyme V-1;Code arborescence
22205;AIPR;AIPR;222 BTP CONCEPTION ORGANISATION;autorisation d'intervention à proximité des réseaux;;Chantier BTP - 22274;;;;;;;H0A0A2A0
22294;CONDUITE CHANTIER BTP;Conduite chantier BTP;222 BTP CONCEPTION ORGANISATION;suivi de chantier BTP;aide-conducteur de travaux###aide-conductrice de travaux###assistant chef de chantier###assistante chef de chantier###chef d'équipe chantier BTP###chef d'équipe travaux publics###chef de chantier BTP###cheffe d'équipe chantier BTP###cheffe d'équipe travaux publics###cheffe de chantier BTP###contremaître de chantier BTP###maîtrise BTP###maîtrise de chantier gros oeuvre###maîtrise de chantier second oeuvre###responsable de chantier BTP;Chantier BTP - 22274;;Conduite chantier BTP - 22294###Management opérationnel - 32110;;Employé pour la formation et le perfectionnement des chefs de chantier et chefs d'équipe BTP.;;;H0A0A2A1
22293;CONDUITE TRAVAUX BTP;Conduite travaux BTP;222 BTP CONCEPTION ORGANISATION;;conducteur de travaux BTP###conductrice de travaux BTP;Chantier BTP - 22274;;;Assure la responsabilité technique, administrative et budgétaire d’un ou plusieurs chantiers dont il contrôle toutes les étapes depuis l'étude du dossier jusqu'à la réception des travaux. Il est secondé dans sa tâche par des chefs de chantier et éventuellement par des conseillers spécialisés.;Employé pour la formation et le perfectionnement des conducteurs de travaux.;;;H0A0A2A2
22286;MATERIEL CHANTIER;Matériel chantier;222 BTP CONCEPTION ORGANISATION;;;Chantier BTP - 22274;Échafaudage - 22297;Engin chantier - 31717###Engin manutention levage - 31747###Matériel chantier - 22286###Réparation engin manutention - 31736;;Employé pour les formations à la maintenance des matériels de chantier. Pour les engins de chantier, employer [[RÉPARATION ENGIN MANUTENTION]] 31736.;;;H0A0A2A3
22297;ECHAFAUDAGE;Échafaudage;222 BTP CONCEPTION ORGANISATION;;monteur échafaudage###monteuse échaffaudage;Matériel chantier - 22286;;;;Employé pour les formations à la mise en oeuvre et l'utilisation des échafaudages en respectant les consignes de sécurité.;;;H0A0A2A3A0
22283;PREPARATION CHANTIER BTP;Préparation chantier BTP;222 BTP CONCEPTION ORGANISATION;signalisation temporaire chantier;;Chantier BTP - 22274;;;;Employé pour les formations aux différentes phases préparatoires à l'installation et l'organisation d'un chantier BTP.;;;H0A0A2A4
22273;RECEPTION TRAVAUX;Réception travaux;222 BTP CONCEPTION ORGANISATION;;;Chantier BTP - 22274;;;Visite générale d'un chantier à l'achèvement des travaux, par le maître d'ouvrage assisté de son architecte, en présence des entrepreneurs, pour vérifier la bonne exécution des travaux.;;;;H0A0A2A5
22257;COMMERCIALISATION BTP;Commercialisation BTP;222 BTP CONCEPTION ORGANISATION;;chargé d'affaires BTP###chargée d'affaires BTP###ingénieur d'affaires BTP###ingénieure d'affaires BTP;BTP conception organisation - 22254;;;;Employé pour la formation et le perfectionnement des chargés d'affaires et des ingénieurs d'affaires BTP.;;;H0A0A3
22255;CONCEPTION BIM;Conception BIM;222 BTP CONCEPTION ORGANISATION;conception Building Information Modeling###maquette numérique pour le bâtiment;BIM manager###administrateur BIM###administratrice BIM###architecte référent BIM###architecte référente BIM###coordinateur BIM###coordinatrice BIM###directeur de projet BIM###directrice de projet BIM###gestionnaire de projet BIM###ingénieur BIM###ingénieure BIM;BTP conception organisation - 22254;;Conception BIM - 22255###Logiciel BIM - 72504;Méthode de travail améliorant la collaboration en s’appuyant sur une ou des maquettes numériques représentant l’ouvrage en 3D. C'est une base de données, complétée et mise à jour par chaque professionnel au fur et à mesure de l’avancement du projet, de sa programmation à sa déconstruction, en passant par sa construction et son exploitation. Les informations sont pensées dans leur perspective métier à l’intention de tous les intervenants, dans le cadre plus général du projet.;;;;H0A0A4
22252;DESSIN BTP;Dessin BTP;222 BTP CONCEPTION ORGANISATION;CAO BTP###CAO bâtiment###DAO BTP###DAO bâtiment###dessin bâtiment;dessinateur projeteur bâtiment###dessinateur études BTP###dessinatrice projeteuse BTP###dessinatrice études BTP;BTP conception organisation - 22254;;DAO - 31685###Dessin BTP - 22252###Dessin construction  - 22398###Logiciel DAO/CAO - 71110###Topographie - 12225;;Employé pour les formations à l'élaboration de plans de chantier et de bâtiment.;;;H0A0A5
22217;DROIT BTP;Droit BTP;222 BTP CONCEPTION ORGANISATION;EUROCODE###droit construction###permis construire###procédure administrative construction###procédure construction###risque pénal construction###réglementation BTP###réglementation bâtiment###réglementation construction;;BTP conception organisation - 22254;Réglementation environnementale BTP - 22218;Droit - 13254###Droit BTP - 22217###Droit urbanisme - 13229###Surveillance sécurité ERP - 42850###Surveillance sécurité IGH - 42841;Ensemble des mesures légales et réglementaires régissant les bâtiments et travaux publics.;Pour les formations à la certification ou à la normalisation de la qualité dans le BTP, employer [[QUALITÉ BTP]] 22237.;;;H0A0A6
22218;REGLEMENTATION ENVIRONNEMENTALE BTP;Réglementation environnementale BTP;222 BTP CONCEPTION ORGANISATION;RE2020###REP PMCB bâtiment###décret éco-énergie tertiaire;;Droit BTP - 22217;;Décarbonation - 12531###Réglementation environnementale BTP - 22218;;;;;H0A0A6A0
22256;ECONOMIE DE LA CONSTRUCTION;Economie de la construction;222 BTP CONCEPTION ORGANISATION;;assistant d'études chiffrages BTP###assistante d'études chiffrages BTP###chargé d'études de prix BTP###ingénieur en économie de la construction###ingénieur en études de prix BTP###ingénieure en économie de la construction###ingénieure en étude de prix BTP###technicien du bâtiment en études de prix###technicienne du bâtiment en études de prix###économiste de la construction;BTP conception organisation - 22254;;;L'économie de la construction consiste à estimer les coûts d'un projet de construction ou de réhabilitation lors de sa conception ou sur toute sa durée de vie, et l'évolution des coûts de construction à grande échelle.;;;;H0A0A7
22248;GESTION ENTREPRISE BTP;Gestion entreprise BTP;222 BTP CONCEPTION ORGANISATION;gestion entreprise bâtiment travaux publics###gestion informatisée BTP;;BTP conception organisation - 22254;;Gestion des organisations - 32054###Gestion entreprise BTP - 22248###Logiciel gestion comptable commerciale - 70654;;;;;H0A0A8
22270;IMPLANTATION TRACAGE;Implantation traçage;222 BTP CONCEPTION ORGANISATION;;;BTP conception organisation - 22254;;Fondation construction - 22348###Implantation traçage - 22270###Mécanique sol - 22095###Topographie - 12225;Mise en place du tracé d'un ouvrage, sur un sol aplani, à l'aide de piquets nivelés et de cordeaux tendus.;;;;H0A0A9
22241;LECTURE PLAN BTP;Lecture plan BTP;222 BTP CONCEPTION ORGANISATION;;;BTP conception organisation - 22254;;Lecture plan - 31695###Lecture plan BTP - 22241###Lecture plan VRD - 22093;;Employé pour les formations à la lecture de plans de chantier et de bâtiment.;;;H0A0B0
22259;MARCHE TRAVAUX;Marché travaux;222 BTP CONCEPTION ORGANISATION;marché privé travaux###marché public travaux;;BTP conception organisation - 22254;;Crédit immobilier - 41094###Financement immobilier - 42178###Marché public - 13209###Marché travaux - 22259###Travaux publics - 22054;Contrat par lequel un entrepreneur s'engage, moyennant un paiement convenu, à construire ou entretenir un ouvrage public ou privé.;;;;H0A0B1
22279;MAITRISE D'OEUVRE BTP;Maîtrise d'oeuvre BTP;222 BTP CONCEPTION ORGANISATION;;maître d'oeuvre BTP;BTP conception organisation - 22254;;Maîtrise d'oeuvre - 32133###Maîtrise d'oeuvre BTP - 22279;Personne (architecte, ingénieur) ou structure retenue par le maître d'ouvrage pour réaliser un programme de construction dans les conditions de délais, de qualité et de coût fixées par ce dernier conformément à un contrat.;;;;H0A0B2
22269;MAITRISE D'OUVRAGE BTP;Maîtrise d'ouvrage BTP;222 BTP CONCEPTION ORGANISATION;;maître d'ouvrage BTP;BTP conception organisation - 22254;;Maîtrise d'ouvrage - 32134###Maîtrise d'ouvrage BTP - 22269###Promotion immobilière - 42186;Personne physique ou morale (propriétaire, promoteur, etc.) qui assure le financement d'un projet de construction et qui en confie la réalisation à un maître d'oeuvre.;;;;H0A0B3
22232;METRE BTP;Métré BTP;222 BTP CONCEPTION ORGANISATION;calepinage###devis BTP###métré TCE###métré bâtiment###métré informatisé###métré tous corps état###économie construction;métreur###métreur BTP###métreuse###métreuse BTP;BTP conception organisation - 22254;Métré spécialisé - 22230;Devis - 34018###Métré BTP - 22232###Topographie - 12225;Description générale et détaillée d'un ouvrage à exécuter, en vue de la détermination des coûts de construction ou de maintenance.;Pour les formations au métré appliqué à un corps d'état, employer [[MÉTRÉ SPÉCIALISÉ]] 22230.;;;H0A0B4
22230;METRE SPECIALISE;Métré spécialisé;222 BTP CONCEPTION ORGANISATION;;métreur###métreur BTP###métreuse###métreuse BTP;Métré BTP - 22232;;;Métré spécialisé dans un corps d'état (métré en peinture, génie climatique, menuiserie, gros oeuvre, second oeuvre, etc.).;;;;H0A0B4A0
22237;QUALITE BTP;Qualité BTP;222 BTP CONCEPTION ORGANISATION;QUALIBAT###assurance qualité BTP###certification qualité BTP###normalisation BTP###qualité bâtiment###qualité travaux publics;;BTP conception organisation - 22254;;Gestion qualité - 31454###Qualité BTP - 22237;;Employé pour les formations à l'assurance qualité, la normalisation (normes ISO) ou la certification professionnelle (QUALIBAT) dans le secteur du BTP.;;;H0A0B5
22225;RESISTANCE OUVRAGE;Résistance ouvrage;222 BTP CONCEPTION ORGANISATION;construction parasismique###construction zone sismique###génie parasismique###résistance au feu###résistance construction###stabilité construction;;BTP conception organisation - 22254;Pathologie construction - 22206;Analyse contraintes - 31383###Béton - 22861###Calcul état limite - 23587###Mécanique sol - 22095###Résistance matériau - 23546###Résistance ouvrage - 22225###Sismologie - 12212;;Employé pour les formations aux dispositions constructives appliquées aux ouvrages en vue d'assurer leur résistance aux différents sinistres (incendie, actions climatiques, etc.).;;;H0A0B6
22206;PATHOLOGIE CONSTRUCTION;Pathologie construction;222 BTP CONCEPTION ORGANISATION;alcali-réaction###auscultation bâtiment###diagnostic bâtiment###diagnostic construction;;Résistance ouvrage - 22225;Expertise bâtiment - 22207;Géotechnique - 22096###Mécanique sol - 22095###Pathologie construction - 22206###Restauration réhabilitation - 22357###Rénovation bâtiment - 22485;Étude des différents symptômes révélateurs des détériorations subies par une construction en vue de sa restauration.;Pour les formations à la pathologie et à la restauration des monuments historiques, employer [[RESTAURATION MONUMENT]] 22359.;;;H0A0B6A0
22207;EXPERTISE BATIMENT;Expertise bâtiment;222 BTP CONCEPTION ORGANISATION;;expert bâtiment###experte bâtiment;Pathologie construction - 22206;;;;;;;H0A0B6A0A0
22295;SECURITE BTP;Sécurité BTP;222 BTP CONCEPTION ORGANISATION;sécurité chantier BTP###sécurité travaux BTP;;BTP conception organisation - 22254;Coordination SPS - 22275###Risque sanitaire bâtiment - 22201;;;Employé pour les formations à la sécurité des personnes travaillant sur les chantiers et dans les entreprises du BTP.;;;H0A0B7
22275;COORDINATION SPS;Coordination SPS;222 BTP CONCEPTION ORGANISATION;coordination sécurité et protection santé;CSPS###Coordonnateur SPS###Coordonnateur de sécurité et de protection de la santé###Coordonnatrice SPS###Coordonnatrice de sécurité et de protection de la santé;Sécurité BTP - 22295;;Coordination SPS - 22275###Réglementation santé sécurité travail - 42817###Sous-traitance - 32072###Sécurité intervention extérieure - 42896;Coordination des mesures de prévention, hygiène et sécurité entre les différentes entreprises intervenant sur un chantier BTP.;;;;H0A0B7A0
22201;RISQUE SANITAIRE BATIMENT;Risque sanitaire bâtiment;222 BTP CONCEPTION ORGANISATION;polluant bâtiment;;Sécurité BTP - 22295;Risque amiante - 22265###Risque légionellose - 22203###Risque plomb - 22276###Risque radon - 22204;Diagnostic immobilier - 42101###Radioprotection - 24121###Risque sanitaire bâtiment - 22201;Risques liés aux sources de contamination de nature chimique, physique ou biologique existant dans les bâtiments et portant atteinte à la santé (amiante, plomb, radon, prolifération de légionelles, etc.).;Employé pour les formations à la prévention et la gestion de l'ensemble des risques sanitaires liés aux bâtiments ou pour les formations concernant un risque pour lequel il n’existe pas de descripteur.;;;H0A0B7A1
22265;RISQUE AMIANTE;Risque amiante;222 BTP CONCEPTION ORGANISATION;déflocage###désamiantage###prévention risque amiante;;Risque sanitaire bâtiment - 22201;;Diagnostic amiante - 42103###Risque amiante - 22265;;Employé pour les formations à la connaissance et à la prévention des risques encourus lors de travaux effectués en présence d'amiante (travaux de retrait ou de confinement, travaux d'entretien et de maintenance, gestion des déchets...). Pour les formations axées principalement sur le repérage et le diagnostic de l'amiante, employer [[DIAGNOSTIC AMIANTE]] 42103.;;;H0A0B7A1A0
22203;RISQUE LEGIONELLOSE;Risque légionellose;222 BTP CONCEPTION ORGANISATION;légionelle###prévention risque légionellose;;Risque sanitaire bâtiment - 22201;;Pneumologie - 43096###Risque légionellose - 22203;La légionellose est une infection d'origine bactérienne dont le germe responsable peut être trouvé dans les installations sanitaires, les installations de climatisation ou les dispositifs de refroidissement.;Employé pour les formations destinées aux personnes chargées de la maintenance et de la surveillance des installations présentant des risques de légionellose (méthodes de détection et d'identification des légionelles, mesures préventives et techniques d'entretien, mesures curatives). Pour les formations à l'aspect médical, employer [[PNEUMOLOGIE]] 43096.;;;H0A0B7A1A1
22276;RISQUE PLOMB;Risque plomb;222 BTP CONCEPTION ORGANISATION;prévention risque plomb###traitement peinture plomb;;Risque sanitaire bâtiment - 22201;;Diagnostic plomb - 42102###Risque plomb - 22276;;Employé pour les formations à la connaissance et à la prévention des risques encourus lors de travaux d'intervention sur les peintures au plomb (techniques de traitement des peintures, protection des travailleurs, gestion des déchets...). Pour les formations axées principalement sur le diagnostic plomb dans les bâtiments, employer [[DIAGNOSTIC PLOMB]] 42102.;;;H0A0B7A1A2
22204;RISQUE RADON;Risque radon;222 BTP CONCEPTION ORGANISATION;prévention risque radon;;Risque sanitaire bâtiment - 22201;;;Le radon est un gaz radioactif d'origine naturelle qui provient de la dégradation de l'uranium et du radium présents dans la croûte terrestre et qui peut se diffuser et s'accumuler à l'intérieur des bâtiments. Cette accumulation représente un risque pour la santé, des études ayant montré que l’inhalation du radon accroît le risque de développer un cancer du poumon.;Employé pour les formations axées sur les caractéristiques, le dépistage, le mesurage, le traitement curatif et préventif du radon visant à réduire sa concentration dans l'habitat existant ou neuf.;;;H0A0B7A1A3
22278;TERMINOLOGIE BTP;Terminologie BTP;222 BTP CONCEPTION ORGANISATION;BTP initiation###vocabulaire BTP;;BTP conception organisation - 22254;;;;Employé pour les formations destinées au personnel non spécialiste souhaitant se familiariser avec le vocabulaire du bâtiment et connaître les bases élémentaires de la construction.;;;H0A0B8
22250;ECO-CONSTRUCTION;Éco-construction;222 BTP CONCEPTION ORGANISATION;bioconstruction###bâtiment biosourcé###bâtiment durable###construction bioclimatique###construction durable###construction solaire###construction écologique###maison solaire###éco-habitat;;BTP conception organisation - 22254;Haute qualité environnementale - 22202###Performance énergétique bâtiment - 22211;Construction - 22374###Éco-construction - 22250###Écomatériau - 22803;La notion d'écoconstruction vise à promouvoir la création de bâtiments respectant au mieux l'environnement de même que la santé et le confort de leurs occupants par l'utilisation de matériaux naturels de construction et d'isolation ainsi que l'utilisation des énergies renouvelables.;;;;H0A0B9
22202;HAUTE QUALITE ENVIRONNEMENTALE;Haute qualité environnementale;222 BTP CONCEPTION ORGANISATION;HQE###QEB###qualité environnementale bâtiment;;Éco-construction - 22250;;;La haute qualité environnementale des bâtiments n'est pas une réglementation ni un label, mais une démarche volontaire de management de la qualité environnementale des opérations de construction ou de réhabilitation de bâtiment. Elle consiste à maîtriser les impacts des bâtiments sur l'environnement extérieur et à créer un environnement intérieur sain et confortable.;;;;H0A0B9A0
22211;PERFORMANCE ENERGETIQUE BATIMENT;Performance énergétique bâtiment;222 BTP CONCEPTION ORGANISATION;RGE###amélioration énergétique bâtiment###efficacité énergétique bâtiment###efficience énergétique bâtiment###feebat###formation économies énergie bâtiment###génie climatique énergétique###maîtrise énergie bâtiment###optimisation énergétique bâtiment###reconnu garant de l’environnement###rénovation énergétique bâtiment###thermique bâtiment###économie énergie bâtiment;chargé d'affaires BTP génie climatique énergétique###chargée d'affaires BTP génie climatique énergétique###ingénieur d'études BTP génie climatique énergétique###ingénieure d'études BTP génie climatique énergétique###technicien chef de projet rénovation énergétique###technicien d'études BTP génie climatique énergétique###technicienne cheffe de projet rénovation énergétique###technicienne d'études BTP génie climatique énergétique;Éco-construction - 22250;Audit énergétique bâtiment - 22215###Contrat performance énergétique - 22213###Label performance énergétique bâtiment - 22209###Réglementation thermique bâtiment - 22210###Thermographie infiltrométrie bâtiment - 22216;Enveloppe bâtiment - 22411###Gestion énergie - 24162###Performance énergétique bâtiment - 22211;Quantité d’énergie, calculée ou mesurée, nécessaire pour répondre aux besoins énergétiques liés à une utilisation normale d'un bâtiment, ce qui inclut l’énergie utilisée pour le chauffage, le système de refroidissement, la ventilation, la production d’eau chaude et l’éclairage.;;;;H0A0B9A1
22215;AUDIT ENERGETIQUE BATIMENT;Audit énergétique bâtiment;222 BTP CONCEPTION ORGANISATION;audit thermique bâtiment###bilan thermique bâtiment###bilan énergétique bâtiment###calcul thermique bâtiment###diagnostic thermique bâtiment;;Performance énergétique bâtiment - 22211;;Audit énergétique - 24111###Audit énergétique bâtiment - 22215###Diagnostic performance énergétique - 42105###Thermométrie - 11421;Un audit énergétique permet d'étudier et de chiffrer la consommation de toutes les sources d'énergie utilisées.;;;;H0A0B9A1A0
22213;CONTRAT PERFORMANCE ENERGETIQUE;Contrat performance énergétique;222 BTP CONCEPTION ORGANISATION;;;Performance énergétique bâtiment - 22211;;Contrat performance énergétique - 22213###Transition énergétique - 24109;A pour objet de garantir dans la durée une amélioration de l’efficacité énergétique d’un bâtiment ou d’un ensemble de bâtiments. C’est un accord entre une entité (publique ou privée) et une entreprise prestataire de services énergétiques en vertu duquel le prestataire entreprend de rendre les installations de l'entité plus éco-énergétiques en retour, normalement, d'une compensation fondée sur les résultats et liée à la quantité d'énergie économisée.;;;;H0A0B9A1A1
22209;LABEL PERFORMANCE ENERGETIQUE BATIMENT;Label performance énergétique bâtiment;222 BTP CONCEPTION ORGANISATION;BEPAS###BEPOS###HPE 2005###HPE EnR 2005###Passiv'Haus###THPE 2005###THPE EnR 2005###bâtiment passif###bâtiment énergie passive###bâtiment énergie positive###haute performance énergétique###haute performance énergétique énergie renouvelable###très haute performance énergétique###très haute performance énergétique énergie renouvelable;;Performance énergétique bâtiment - 22211;;Label performance énergétique bâtiment - 22209###Transition énergétique - 24109;;;;;H0A0B9A1A2
22210;REGLEMENTATION THERMIQUE BATIMENT;Réglementation thermique bâtiment;222 BTP CONCEPTION ORGANISATION;RT 2005###RT 2012###RT 2020###RT existant###règle thermique;;Performance énergétique bâtiment - 22211;;Génie thermique - 22642###Réglementation thermique bâtiment - 22210###Thermodynamique - 11452;Réglementation portant sur les bâtiments neufs ou existants, qu'ils soient résidentiels ou tertiaires, et dont l'objectif est de réduire les consommations d'énergie.;;;;H0A0B9A1A3
22216;THERMOGRAPHIE INFILTROMETRIE BATIMENT;Thermographie infiltrométrie bâtiment;222 BTP CONCEPTION ORGANISATION;;;Performance énergétique bâtiment - 22211;;Thermographie - 31310###Thermographie infiltrométrie bâtiment - 22216;La thermographie infrarouge dans le bâtiment est un outil de diagnostic qui permet, à l'aide d'une caméra thermique, de visualiser d'éventuels défauts de conception ou de mise en œuvre pouvant créer des déperditions de chaleur importantes. L'infiltrométrie est une technique qui permet de détecter, visualiser et mesurer les flux d'air parasites qui s'infiltrent au travers de l'enveloppe d'un bâtiment.;;;;H0A0B9A1A4
22354;BATIMENT GROS OEUVRE;Bâtiment gros oeuvre;223 BATIMENT GROS OEUVRE;;;BTP - bâtiment travaux publics;Charpente - 22312###Construction - 22374###Démolition - 22329###Fondation construction - 22348###Maçonnerie - 22334###Plancher - 22361###Préfabrication - 22371###Restauration réhabilitation - 22357###Sol dallage industriel - 22307###Soutènement - 22339;BTP conception organisation - 22254###Bâtiment gros oeuvre - 22354###Bâtiment second oeuvre - 22454###Matériau construction - 22852;;Employé pour les formations générales à l'ensemble des techniques du gros œuvre. Préférer un descripteur plus précis.;;;H0A1
22312;CHARPENTE;Charpente;223 BATIMENT GROS OEUVRE;;charpentier###charpentière;Bâtiment gros oeuvre - 22354;Charpente bois - 22313###Charpente métallique - 22314;;;Employé pour les formations générales aux techniques de charpente ou les formations pour lesquelles il n'existe pas de descripteurs spécifiques. Ne pas confondre avec [[CHARPENTE MARINE]] 23601.;;;H0A1A0
22313;CHARPENTE BOIS;Charpente bois;223 BATIMENT GROS OEUVRE;;charpentier bois###charpentière bois;Charpente - 22312;;Bois - 22881###Charpente bois - 22313###Traitement bois - 22890;;;;;H0A1A0A0
22314;CHARPENTE METALLIQUE;Charpente métallique;223 BATIMENT GROS OEUVRE;;charpentier métallique###charpentière métallique;Charpente - 22312;;Charpente métallique - 22314###Matériau métallique - 22834;;;;;H0A1A0A1
22374;CONSTRUCTION;Construction;223 BATIMENT GROS OEUVRE;construction chanvre###construction paille;;Bâtiment gros oeuvre - 22354;Construction bois - 22396###Construction béton - 22395###Construction mixte - 22397###Construction métallique - 22387###Construction terre - 22392###Dessin construction  - 22398;Construction - 22374###Éco-construction - 22250###Écomatériau - 22803;;Employé pour les formations générales concernant la construction ou les formations pour lesquelles il n'existe pas de descripteurs spécifiques.;;;H0A1A1
22396;CONSTRUCTION BOIS;Construction bois;223 BATIMENT GROS OEUVRE;fuste###maison bois###ossature bois;fustier###fustière###monteur structure bois###monteuse construction bois;Construction - 22374;;Bois - 22881###Construction bois - 22396###Menuiserie bois - 22416###Scierie - 21045###Traitement bois - 22890;;;;;H0A1A1A0
22395;CONSTRUCTION BETON;Construction béton;223 BATIMENT GROS OEUVRE;banche;;Construction - 22374;;Béton - 22861###Construction béton - 22395###Ouvrage béton - 22005;;;;;H0A1A1A1
22397;CONSTRUCTION MIXTE;Construction mixte;223 BATIMENT GROS OEUVRE;construction acier béton;;Construction - 22374;;Construction mixte - 22397###Pont - 22016;Construction associant deux matériaux (acier et béton par exemple).;;;;H0A1A1A2
22387;CONSTRUCTION METALLIQUE;Construction métallique;223 BATIMENT GROS OEUVRE;assemblage boulonné###assemblage soudé###construction acier###construction soudée###ossature métallique;monteur structure métallique###monteuse construction métallique;Construction - 22374;;Construction métallique - 22387###Matériau métallique - 22834###Menuiserie métallique - 22477;;;;;H0A1A1A3
22392;CONSTRUCTION TERRE;Construction terre;223 BATIMENT GROS OEUVRE;;;Construction - 22374;;;;;;;H0A1A1A4
22398;DESSIN CONSTRUCTION ;Dessin construction ;223 BATIMENT GROS OEUVRE;;dessinateur BTP###dessinateur construction métallique###dessinateur projeteur###dessinateur projeteur électronique###dessinateur travail métaux###dessinatrice BTP###dessinatrice construction métallique###dessinatrice projeteuse###dessinatrice projeteuse électronique###dessinatrice travail métaux;Construction - 22374;;DAO - 31685###Dessin BTP - 22252###Dessin construction  - 22398###Dessin construction mécanique - 23692###Dessin industriel - 31686;;;;;H0A1A1A5
22329;DEMOLITION;Démolition;223 BATIMENT GROS OEUVRE;déconstruction;démolisseur###démolisseuse###préparateur en déconstruction###préparatrice en déconstruction;Bâtiment gros oeuvre - 22354;;Démolition - 22329###Explosif - 22097;;;;;H0A1A2
22348;FONDATION CONSTRUCTION;Fondation construction;223 BATIMENT GROS OEUVRE;ancrage###injection sol###pieu###pilotis###reprise en sous-oeuvre###semelle bâtiment;;Bâtiment gros oeuvre - 22354;;Fondation construction - 22348###Implantation traçage - 22270###Mécanique sol - 22095;;;;;H0A1A3
22334;MACONNERIE;Maçonnerie;223 BATIMENT GROS OEUVRE;;cimenteur###cimentier###cimentière###maçon###maçonne###ouvrier maçon###ouvrière maçonne;Bâtiment gros oeuvre - 22354;Briquetage - 22331###Cloisonnement - 22304###Coffrage - 22311###Enduit maçonnerie - 22301###Escalier maçonnerie - 22306###Ferraillage - 22320###Jointoiement - 22305###Maçonnerie bâti ancien - 22335###Maçonnerie joint mince - 22315###Maçonnerie pierre - 22303;Matériau construction - 22852###Maçonnerie - 22334###Maçonnerie paysagère - 21050###Ouvrage béton - 22005###Pierre naturelle - 22842;Ouvrage en pierres, briques, moellons, meulières, agglomérés, etc., employés à sec ou réunis par un liant (ciment, mortier ou plâtre).;;;;H0A1A4
22331;BRIQUETAGE;Briquetage;223 BATIMENT GROS OEUVRE;maçonnerie brique;briqueteur###briqueteur maçon###briqueteuse###briqueteuse maçonne;Maçonnerie - 22334;;Brique - 22810###Briquetage - 22331;Ouvrage constitué de briques réunies entre elles par un liant ou bien imitation de briques sur un enduit en marquant ou traçant de faux joints.;;;;H0A1A4A0
22304;CLOISONNEMENT;Cloisonnement;223 BATIMENT GROS OEUVRE;cloison###mur;maçon###maçonne;Maçonnerie - 22334;;;;;;;H0A1A4A1
22311;COFFRAGE;Coffrage;223 BATIMENT GROS OEUVRE;;coffreur###coffreur-boiseur###coffreuse boiseuse;Maçonnerie - 22334;;;Moule provisoire destiné à recevoir le béton lors de son coulage de manière à lui donner une forme et à le soutenir pendant la prise.;;;;H0A1A4A2
22301;ENDUIT MACONNERIE;Enduit maçonnerie;223 BATIMENT GROS OEUVRE;crépissage###gunitage###mouchetis;crépisseur###crépisseuse###enduiseur###enduiseuse;Maçonnerie - 22334;;Chaux - 22850###Enduit maçonnerie - 22301###Façade - 22490;;Employé pour les formations à l'application d'enduits divers sur les parois d'ouvrages en maçonnerie. Pour les enduits à base de chaux employer le descripteur [[CHAUX]] 22850.;;;H0A1A4A3
22306;ESCALIER MACONNERIE;Escalier maçonnerie;223 BATIMENT GROS OEUVRE;escalier béton###escalier pierre;;Maçonnerie - 22334;;Escalier bois - 22406###Escalier maçonnerie - 22306###Escalier mécanique - 22494###Escalier métallique - 22467;;;;;H0A1A4A4
22320;FERRAILLAGE;Ferraillage;223 BATIMENT GROS OEUVRE;armature béton;coffreur ferrailleur###coffreuse###coffreuse-ferrailleuse###ferrailleur;Maçonnerie - 22334;;Ferraillage - 22320###Métal - 22825;"Ensemble des éléments métalliques d'une construction en béton armé ; mise en place des armatures dans ou sur le coffrage avant bétonnage.";;;;H0A1A4A5
22305;JOINTOIEMENT;Jointoiement;223 BATIMENT GROS OEUVRE;joint mortier;jointoyeur;Maçonnerie - 22334;;Isolation bâtiment - 22420###Jointoiement - 22305;Travail qui consiste à ajouter du mortier dans les joints des maçonneries de moellons, meulières ou briques, de manière à leur donner un aspect plus uniforme.;;;;H0A1A4A6
22335;MACONNERIE BATI ANCIEN;Maçonnerie bâti ancien;223 BATIMENT GROS OEUVRE;;maçon bâti ancien###maçonne bâti ancien;Maçonnerie - 22334;;;;;;;H0A1A4A7
22315;MACONNERIE JOINT MINCE;Maçonnerie joint mince;223 BATIMENT GROS OEUVRE;maçonnerie collée###maçonnerie roulée;maçon joint mince###maçonne joint mince;Maçonnerie - 22334;;;Technique qui met en oeuvre des produits rectifiés, c’est-à-dire dont les deux faces horizontales ont subi en usine un meulage simultané afin d’être parfaitement planes, parallèles entre elles et perpendiculaires aux autres faces.;;;;H0A1A4A8
22303;MACONNERIE PIERRE;Maçonnerie pierre;223 BATIMENT GROS OEUVRE;construction pierre###limousinage###limousinerie###moellon###pose pierre;maçon limousinant###maçonne-limousinante;Maçonnerie - 22334;;Maçonnerie pierre - 22303###Pierre naturelle - 22842;;;;;H0A1A4A9
22361;PLANCHER;Plancher;223 BATIMENT GROS OEUVRE;chape###dalle flottante###plancher bois###plancher préfabriqué###planchéiage;;Bâtiment gros oeuvre - 22354;;Parquet - 22405###Plancher - 22361;;;;;H0A1A5
